Test1,TestFName1,A,123-45-6789,23423423,06/2019,0,5004
Test2,TestFName2,B,12-3456789,23423523,07/2019,853,0
Test3,,C,098-76-5432,4565645,08/2019,0,0
Test4,TestFName4,,12-9876543,645645,09/2017,0.48,-125.05
,TestFName6,,123-45-7890,456456,10/2019,2567.45,0
Test5,TestFName5,,123-98-4567,456456,11/2019,1000000,200000
Test7,TestFName7,F,234-67-0987,456456,12/2019,-567.46,34.56
Test2,TestFName2,B,12-3456789,456456456,07/2019,0,755
Test3,,C,098-76-5432,45645645,06/2019,0,490
Test1,TestFName1,A,123-45-6789,54645645,06/2019,0,
